player_name;club;position;height_cm;weight_kg;age;nationality;season;matches_played;matches_started;minutes_played;points_scored;tries;penalties_scored;penalty_attempts;penalty_success_rate;conversion_attempts;conversion_success_rate;balls_kicked;meters_kicked;tackles_broken;passes;carries;meters_carried;line_breaks;offloads;drop_success_rate;turnovers_won;interceptions;tackles_made;tackle_success_rate;penalties_conceded;yellow_cards;orange_cards;red_cards
Maxime Baudonne;Racing 92;3ème ligne;190;95;22;France;2024-2025;22;16;1271;20;4;0;0;0;0;0;2;79;11;91;91;465;6;3;0;5;0;203;85;14;0;0;0
Hassan Kolingar;Racing 92;Talonneur;184;115;25;France;2023-2024;21;15;1020;0;0;0;0;0;0;0;0;0;16;24;87;375;0;4;0;1;0;171;83;18;2;0;0
Hassan Kolingar;Racing 92;Talonneur;184;115;26;France;2024-2025;14;6;547;0;0;0;0;0;0;0;0;0;14;7;53;240;0;0;0;0;0;97;84;15;0;0;0
Romain Taofifenua;Racing 92;2ème ligne;203;138;33;France;2023-2024;15;12;834;10;2;0;0;0;0;0;1;28;8;37;71;317;0;9;0;6;0;102;78;9;1;0;1
Romain Taofifenua;Racing 92;2ème ligne;203;138;34;France;2024-2025;19;11;839;20;4;0;0;0;0;0;0;0;11;53;118;506;1;14;0;7;0;114;83;11;3;0;0
Sébastien Bézy;ASM Clermont;Demi de mêlée;174;76;31;France;2023-2024;22;15;1131;0;0;0;0;0;0;0;133;3343;19;932;97;452;3;9;0;3;1;95;71;4;0;0;0
Sébastien Bézy;ASM Clermont;Demi de mêlée;174;76;32;France;2024-2025;25;10;936;10;1;1;1;100;2;100;115;2592;10;675;55;326;4;8;0;3;0;83;74;4;1;0;0
Selevasio Tolofua;ASM Clermont;Centre;186;116;26;France;2023-2024;21;13;1080;10;2;0;0;0;0;0;2;28;37;73;151;789;0;13;0;10;0;140;80;10;1;0;0
Selevasio Tolofua;ASM Clermont;Centre;186;116;27;France;2024-2025;14;6;525;5;1;0;0;0;0;0;1;29;24;33;80;440;4;8;0;2;0;81;77;1;0;0;0
Léon Darricarrere;ASM Clermont;Centre;187;98;19;France;2023-2024;17;10;861;15;3;0;0;0;0;0;3;54;21;32;53;472;4;5;0;0;0;53;62;0;0;0;0
Léon Darricarrere;ASM Clermont;Centre;187;98;20;France;2024-2025;17;15;1129;10;2;0;0;0;0;0;7;98;14;51;82;683;4;12;0;0;0;69;61;8;0;0;0
Alex Newsome;ASM Clermont;Arrière;189;93;28;Australia;2023-2024;20;20;1574;10;2;0;0;0;0;0;68;2431;26;134;212;2095;7;22;0;2;0;46;62;4;0;0;0
Alex Newsome;ASM Clermont;Arrière;189;93;29;Australia;2024-2025;20;20;1600;15;3;0;0;0;0;0;44;1298;42;121;180;1693;11;10;0;1;0;41;54;5;0;0;0
Alivereti Raka;ASM Clermont;Ailier;189;94;28;Fiji;2023-2024;18;18;1391;50;10;0;0;0;0;0;25;691;63;45;175;1667;21;12;0;4;1;61;59;7;0;0;0
Alivereti Raka;ASM Clermont;Ailier;189;94;29;Fiji;2024-2025;18;18;1312;35;7;0;0;0;0;0;14;381;42;74;149;1396;18;19;0;1;0;53;62;10;2;0;0
Pita-Gus Sowakula;ASM Clermont;3ème ligne;196;117;29;Fiji;2023-2024;10;8;618;5;1;0;0;0;0;0;2;65;11;51;99;531;2;9;0;2;0;64;75;9;1;0;0
Pita-Gus Sowakula;ASM Clermont;3ème ligne;196;117;30;Fiji;2024-2025;15;14;1107;5;1;0;0;0;0;0;3;133;19;82;166;837;2;27;0;6;0;147;76;6;1;0;0
Etienne Fourcade;ASM Clermont;Talonneur;180;103;26;France;2023-2024;14;9;656;10;2;0;0;0;0;0;0;0;7;29;84;339;1;3;0;1;0;71;70;8;0;0;0
Etienne Fourcade;ASM Clermont;Talonneur;180;103;27;France ;2024-2025;16;8;668;25;5;0;0;0;0;0;1;0;11;37;77;356;3;2;0;2;0;80;76;7;0;0;0
Killian Tixeront;ASM Clermont;3ème ligne;196;107;21;France;2023-2024;22;13;999;5;1;0;0;0;0;0;0;0;6;41;48;274;2;3;0;0;0;134;79;4;0;0;0
Killian Tixeront;ASM Clermont;3ème ligne;196;107;22;France ;2024-2025;24;16;1313;20;4;0;0;0;0;0;0;0;10;66;47;335;3;2;0;1;0;183;77;10;1;0;0
Cristian Ojovan;ASM Clermont;Pilier;183;120;26;Moldova;2023-2024;17;7;555;0;0;0;0;0;0;0;0;0;3;11;57;221;0;0;0;1;0;76;78;13;0;0;0
Cristian Ojovan;ASM Clermont;Pillier;183;120;27;Moldova;2024-2025;26;16;1128;0;0;0;0;0;0;0;0;0;4;15;78;325;0;0;0;1;0;112;81;21;1;0;0
Thomas Ceyte;ASM Clermont;2ème ligne;196;117;32;France;2023-2024;22;20;1416;10;2;0;0;0;0;0;0;0;8;76;142;773;7;16;0;2;1;158;77;28;1;0;0
Thomas Ceyte;ASM Clermont;2ème ligne;196;117;33;France;2024-2025;25;22;1602;15;3;0;0;0;0;0;1;31;10;94;143;668;3;21;0;1;1;173;75;31;1;0;0
Thibaud Flament;Stade Toulousain;2ème ligne;203;116;26;France;2023-2024;12;11;809;0;0;0;0;0;0;0;0;0;3;51;89;412;2;5;0;0;0;86;83;7;0;0;0
Thibaud Flament;Stade Toulousain;2ème ligne;203;116;27;France;2024-2025;17;11;879;10;2;0;0;0;0;0;0;0;5;72;89;488;1;7;0;1;0;78;80;8;0;0;0
Brad Weber;Stade Français;Demi de mêlée;172;75;32;New Zealand;2023-2024;19;13;970;0;0;0;0;0;0;0;102;2074;24;705;58;302;5;8;0;2;1;83;69;3;2;0;0
Brad Weber;Stade Français;Demi de mêlée;172;75;33;New Zealand;2024-2025;14;12;940;15;3;0;0;0;0;0;90;1970;16;702;54;368;3;7;0;0;0;69;70;3;0;0;0
Louis Carbonel;Stade Français;Ouvreur;180;82;24;France;2023-2024;25;22;1621;204;1;38;38;70;98;76;143;4465;29;366;144;1015;7;7;20;2;0;122;66;2;0;0;0
Louis Carbonel;Stade Français;Ouvreur;180;82;25;France;2024-2025;17;14;1029;137;2;24;24;75;66;75;119;3927;18;228;66;490;2;3;33;1;0;68;62;2;0;0;0
Léo Barré;Stade Français;Ailier;189;89;21;France;2023-2024;24;18;1574;16;2;0;0;0;4;75;132;4654;55;150;217;1884;12;17;0;0;0;48;63;1;0;0;0
Léo Barré;Stade Français;Ailier;189;89;22;France;2024-2025;21;17;1349;5;1;0;0;0;0;0;98;3345;59;156;177;1565;5;29;0;1;1;36;55;4;0;0;0
Peniasi Dakuwaqa;Stade Français;Arrière;186;95;26;Fiji;2023-2024;15;11;904;30;6;0;0;0;0;0;8;160;26;21;63;918;16;7;0;0;0;53;54;8;2;0;0
